0,1,2
PERFIL DE ARRANQUE,,
Corriente,700000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.30002573168183955,
Toroidal Beta,0.042655477310846145,
Total Beta,0.0373459076674901,
Normalized Beta,1.8288691823623608,
Elongation,2.0925221812186208,
Triangularity,0.47627853593280606,
Intersect Walls,False,
Plasma Aspect Ratio,3.205277182576475,
Inverse Plasma Aspect Ratio,0.31198549861331404,
Minour Radius,0.47557277881482574,m
Plasma Volume,12.532243305004537,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,699999.9999999998,Amps
Plasma Pressure on Axis,24481.593356010668,Pascals
Plasma Average Pressure,5473.06595063957,Pascals
Plasma Thermal Energy,102884.69117662655,Joules
,,
Geometric Axis,"[array([1.52434258e+00, 2.81451512e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5643994714562672), np.float64(0.00028145151160152097), np.float64(0.21993305180154288))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.0487268109612906), np.float64(1.999932278446223))","(R,Z)"
Shafranov Shift,"[array([4.00568949e-02, 3.39897381e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
